date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:35	129115/129115	---M-Z	200	added ('OK')	text/html	etag:%22cd18f743237bf7a413d0c72c82f70eea%22	https://employee-bust-826565.framer.app/	C:/My%20Web%20Sites/inv/employee-bust-826565.framer.app/index.html	(from )
11:06:35	87/87	---M-Z	200	added ('OK')	text/plain	etag:%2283678502939f9c3c04b74dbc9d4cc724%22	https://employee-bust-826565.framer.app/robots.txt		(from )
11:06:35	91/91	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2025%20Mar%202023%2010:09:22%20GMT	https://framerusercontent.com/modules/9fVQsJzJ2JtUzLqK80Rv/lJgx6CksQi8Zy1sr3SYX/assets/YnQSAbQSGVZPWqvwejPY44zUoe0.png	C:/My%20Web%20Sites/inv/framerusercontent.com/modules/9fVQsJzJ2JtUzLqK80Rv/lJgx6CksQi8Zy1sr3SYX/assets/YnQSAbQSGVZPWqvwejPY44zUoe0.0.delayed	(from https://employee-bust-826565.framer.app/)
11:06:36	40731/40731	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2005:36:36%20GMT	https://framerusercontent.com/images/YnQSAbQSGVZPWqvwejPY44zUoe0.png	C:/My%20Web%20Sites/inv/framerusercontent.com/images/YnQSAbQSGVZPWqvwejPY44zUoe0.png	(from https://employee-bust-826565.framer.app/)
11:06:37	22901/22901	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2005:36:36%20GMT	https://framerusercontent.com/images/bbdjJgNw2lGNxYaPkRMAS3w3X4.png?scale-down-to=512	C:/My%20Web%20Sites/inv/framerusercontent.com/images/bbdjJgNw2lGNxYaPkRMAS3w3X417f5.png	(from https://employee-bust-826565.framer.app/)
11:06:38	86330/86330	---M-Z	200	added ('OK')	text/html	etag:%22ebbd1b3382cb105e7c1942700356d9fb%22	https://employee-bust-826565.framer.app/cultural-events	C:/My%20Web%20Sites/inv/employee-bust-826565.framer.app/cultural-events.html	(from https://employee-bust-826565.framer.app/)
11:06:40	89341/89341	---M-Z	200	added ('OK')	text/html	etag:%225e2cacdf51a07fc731b2b88a6347f025%22	https://employee-bust-826565.framer.app/Sports-events	C:/My%20Web%20Sites/inv/employee-bust-826565.framer.app/Sports-events.html	(from https://employee-bust-826565.framer.app/)
11:06:40	112594/112594	---M-Z	200	added ('OK')	text/html	etag:%22f51bd9e49d298fbe92cc9548f704eadd%22	https://employee-bust-826565.framer.app/dance	C:/My%20Web%20Sites/inv/employee-bust-826565.framer.app/dance.html	(from https://employee-bust-826565.framer.app/)
11:06:44	363437/363437	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2005:36:43%20GMT	https://framerusercontent.com/images/wH804goS4byC7PGjRwAOSXmqD6E.png	C:/My%20Web%20Sites/inv/framerusercontent.com/images/wH804goS4byC7PGjRwAOSXmqD6E.png	(from https://employee-bust-826565.framer.app/)
11:06:45	124766/124766	---M-Z	200	added ('OK')	text/html	etag:%22c8cb32567c0b5d14b3470805a58d9774%22	https://employee-bust-826565.framer.app/music	C:/My%20Web%20Sites/inv/employee-bust-826565.framer.app/music.html	(from https://employee-bust-826565.framer.app/)
